date,pblh_mean,pblh_min,pblh_max,pblh_night,pblh_range,t850_mean,slp_mean,tqv_mean,inversion_strength,inversion_strength_max,ventilation_index,ventilation_index_min,t850_max
2023-06-01,712.10394,300.55945,1283.7083,844.9693,983.1488,11.609071,1010.195,19.705648,-4.2301102221069335,-7.368072560546874,2644.3210846259763,1116.095050626953,13.133575
2023-06-02,715.6296,278.01312,1329.4551,848.08746,1051.4419,13.1117735,1012.11615,15.528961,-3.48226850909424,-5.814330789062499,2380.029685482788,924.6117060006592,16.687866
2023-06-03,732.347,212.31651,1359.0072,783.32916,1146.6907,18.414997,1011.56104,14.636577,1.009451100830077,-2.8664246875000003,1909.850938006311,553.6895761241913,20.700195
2023-06-04,807.34644,417.74478,1319.3807,905.37164,901.636,19.885235,1009.66376,15.589046,2.1777988327636706,-2.4973451132812485,1683.9300940598143,871.3149377044372,20.602234
2023-06-05,701.982,280.8285,1327.28,762.6176,1046.4515,16.79663,1009.0965,13.947482,1.1216848593749997,-0.5964049511718734,1960.4946126176148,784.2975294254151,20.20755
2023-06-06,923.4512,636.9935,1411.8549,977.04877,774.8613,8.51252,1009.9029,15.266431,-5.8588181635742185,-7.2616877480468744,2890.687422035742,1993.986517057361,11.060333
2023-06-07,837.98346,350.12778,1533.5139,900.19727,1183.3861,9.05915,1011.90314,23.491592,-6.043847257873535,-8.35046302734375,2264.9726714617127,946.3550117675445,11.350647
2023-06-08,704.5984,217.85413,1408.063,856.314,1190.2089,12.265159,1013.67755,21.344147,-4.565882346740722,-7.385315394531251,2082.1131813083493,643.7666542968017,14.929871
2023-06-09,705.5671,223.62239,1348.1537,860.4612,1124.5312,13.787553,1014.1351,20.393805,-3.4014751664428715,-6.634796046875,2354.2915622621886,746.1690381474899,15.458252
2023-06-10,593.7414,272.69696,1127.347,707.4094,854.6501,14.27386,1011.40265,21.437956,-2.343503022277833,-4.70999100390625,1671.359105813147,767.6314175618775,15.293396
2023-06-11,746.966,339.35428,1379.2026,823.56287,1039.8484,10.949184,1010.14276,22.99681,-4.819178582275391,-4.639038906250001,2777.2948948811527,1261.753414613916,14.192871
2023-06-12,774.77277,279.63562,1486.9998,899.77673,1207.3641,10.084117,1013.9204,24.322771,-6.038451064270021,-7.978271921874999,2825.8120522304994,1019.9089850875855,12.94458
2023-06-13,680.6252,132.34831,1406.816,813.77466,1274.4678,13.519974,1014.6579,25.946451,-3.791356245117189,-6.581024605468748,2018.80480585979,392.5588057981018,16.00763
2023-06-14,625.0947,231.67009,1252.4517,768.2795,1020.78156,15.555581,1011.95044,26.595665,-1.8937089071655286,-5.067016658203126,1886.5201948879883,699.1745158607773,17.0466
2023-06-15,675.253,327.86966,1280.8801,798.8871,953.0105,15.807687,1010.3365,27.553757,-1.7896431942749018,-5.106171572265627,1897.4430097264099,921.3050544349823,18.154388
2023-06-16,707.26495,231.11852,1413.6162,847.29456,1182.4977,16.158503,1011.565,29.373487,-2.3647914212646484,-4.885040318359376,1758.1043691278687,574.5095511345978,18.521149
2023-06-17,694.9572,215.50325,1451.5831,811.82056,1236.0798,19.978886,1012.6289,28.366934,-0.49869434936523405,-4.576964882812501,1829.5997506021913,567.351031880397,21.932495
2023-06-18,522.7072,111.44095,1103.1372,637.3471,991.6963,19.558155,1010.6944,18.717827,0.3512730598144529,-3.0460816230468737,1366.555966586029,291.34913177691953,21.562286
2023-06-19,588.76166,180.64261,1208.7026,707.0674,1028.06,16.45116,1010.7351,21.428602,-0.9066405690917954,-3.5285340097656253,1618.9186956086608,496.71321581988826,19.030365
2023-06-20,597.3828,153.6641,1357.3071,767.66595,1203.6431,14.61089,1013.30493,14.24984,-2.991562611511231,-7.685211271484373,1590.1566416132812,409.03416197529606,16.344147
2023-06-21,595.08606,84.25149,1387.2362,699.8931,1302.9847,15.221919,1013.075,10.168754,-3.171253940246583,-7.889465078124999,1387.3809018863524,196.42353094138642,16.68042
2023-06-22,536.61334,105.98523,1104.1094,625.8974,998.12415,14.394493,1012.0493,10.673081,-2.487012896972658,-5.789184646484376,1785.1620697402038,352.58312966363525,16.697662
2023-06-23,737.5163,272.64804,1343.6974,799.3201,1071.0493,11.241573,1014.2165,10.016228,-4.510619166259765,-7.350830443359374,2402.8446877445986,888.2934514144134,15.269196
2023-06-24,588.854,183.0988,1166.6157,714.3042,983.5169,15.605821,1014.2265,12.072719,-1.9802063441772475,-5.34368940625,1643.2626373510254,510.9575821359543,17.716309
2023-06-25,585.8438,219.36064,1100.899,668.4441,881.5384,16.44887,1014.7046,11.670143,-0.8834152947998035,-5.06024160546875,1644.2020568984374,615.6473980425782,18.304504
2023-06-26,590.40466,171.28372,1274.102,719.08655,1102.8184,16.550367,1012.6716,14.337789,-1.6784126446533207,-5.854553056640626,1654.7061898654176,480.0508068637848,18.269867
2023-06-27,547.2226,104.19504,1282.3069,694.8486,1178.1118,17.407446,1009.7075,12.298954,-1.304808092407228,-5.950622792968751,1206.8920462413025,229.80074932707217,19.028137
2023-06-28,577.44806,115.27455,1306.7645,700.8785,1191.49,17.099512,1009.96924,13.821431,-0.9669798997802737,-4.640838822265625,1413.8061002010315,282.2346726984695,18.947357
