date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-05-02,70,23,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-05-03,84,27,17,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-05-04,77,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-05-05,53,21,15,"Ozone,PM2.5",PM2.5,Glendora
2016-05-06,47,31,17,"Ozone,PM2.5",PM2.5,Reseda
2016-05-07,51,23,16,"Ozone,PM2.5",PM2.5,Glendora
2016-05-08,45,23,16,"Ozone,PM2.5",PM2.5,Reseda
2016-05-09,56,30,17,"Ozone,PM2.5",PM2.5,Glendora
2016-05-10,77,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-05-11,101,23,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-05-12,105,29,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-05-13,115,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-05-14,79,24,16,"Ozone,PM2.5",PM2.5,Lancaster-Division Street
2016-05-15,58,30,17,"Ozone,PM2.5",PM2.5,Reseda
2016-05-16,64,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-05-17,64,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-05-18,67,31,17,"Ozone,PM2.5",PM2.5,Reseda
2016-05-19,76,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-05-20,59,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-05-21,52,30,17,"Ozone,PM2.5",PM2.5,Glendora
2016-05-22,53,24,16,"Ozone,PM2.5",PM2.5,Lancaster-Division Street
2016-05-23,52,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-05-24,55,29,16,"Ozone,PM2.5",PM2.5,Reseda
2016-05-25,51,22,15,"Ozone,PM2.5",PM2.5,Reseda
2016-05-26,58,21,14,"Ozone,PM2.5",PM2.5,Reseda
2016-05-27,87,28,17,"Ozone,PM2.5",Ozone,Santa Clarita
2016-05-28,108,22,15,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-05-29,90,22,15,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-05-30,101,29,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-05-31,100,22,15,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-06-01,100,22,15,"Ozone,PM2.5",Ozone,Santa Clarita
2016-06-02,190,29,17,"Ozone,PM2.5",Ozone,Santa Clarita
2016-06-03,166,23,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-06-04,209,22,15,"Ozone,PM2.5",Ozone,Glendora
2016-06-05,140,32,17,"Ozone,PM2.5",Ozone,Santa Clarita
2016-06-06,108,23,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-06-07,84,22,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-06-08,164,29,17,"Ozone,PM2.5",Ozone,Santa Clarita
2016-06-09,133,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-06-10,105,23,15,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-06-11,59,32,17,"Ozone,PM2.5",PM2.5,Lancaster-Division Street
2016-06-12,53,23,16,"Ozone,PM2.5",PM2.5,Lancaster-Division Street
2016-06-13,61,23,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-06-14,97,29,17,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-06-15,71,23,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-06-16,97,23,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-06-17,169,31,17,"Ozone,PM2.5",Ozone,Santa Clarita
2016-06-18,119,24,16,"Ozone,PM2.5",Ozone,Azusa
2016-06-19,143,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-06-20,126,30,17,"Ozone,PM2.5",Ozone,Glendora
2016-06-21,126,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-06-22,119,23,15,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-06-23,151,32,17,"Ozone,PM2.5",Ozone,Santa Clarita
2016-06-24,122,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
