date,t2m_mean,t2m_max,t2m_min,t2m_range,qv2m_mean,qv2m_max,u10m_mean,v10m_mean,wind_speed_mean,wind_speed_max,wind_speed_min,calm_hours,daily_aqi,dominant_pollutant,wind_dir_sin,wind_dir_cos,doy_sin,doy_cos,is_weekend,t2m_mean_lag1,t2m_mean_lag2,t2m_mean_lag3,t2m_mean_roll3,t2m_max_lag1,t2m_max_lag2,t2m_max_lag3,t2m_max_roll3,qv2m_mean_lag1,qv2m_mean_lag2,qv2m_mean_lag3,qv2m_mean_roll3,wind_speed_mean_lag1,wind_speed_mean_lag2,wind_speed_mean_lag3,wind_speed_mean_roll3,calm_hours_lag1,calm_hours_lag2,calm_hours_lag3,calm_hours_roll3,pblh_mean,pblh_min,pblh_max,pblh_night,pblh_range,t850_mean,slp_mean,tqv_mean,inversion_strength,inversion_strength_max,ventilation_index,ventilation_index_min,inversion_strength_lag1,inversion_strength_lag2,inversion_strength_lag3,inversion_strength_roll3,ventilation_index_lag1,ventilation_index_lag2,ventilation_index_lag3,ventilation_index_roll3,pblh_min_lag1,pblh_min_lag2,pblh_min_lag3,pblh_min_roll3
2017-12-25,13.732624,19.406921,10.536377,8.870544,4.1821136,4.6976676,0.21342076,-0.43480834,1.1234044,1.9424033,0.20520693,24,175.0,PM2.5,-0.4406224086686883,0.8976925381103507,-0.1073081316563624,0.994225811815616,0,12.867944,11.516838,9.146926,12.705801999999997,21.031097,18.979462,16.178894,19.805826666666672,3.206566,2.597203,1.9542176,3.328627533333332,2.0462077,1.985693,2.5503294,1.7184350333333331,13.0,10.0,5.0,15.666666666666666,253.07121,80.27034,968.1888,363.90924,887.91846,14.152291,1017.095,7.211357,0.4196672979125981,-4.6679683632812505,284.30131393753055,90.1760531070984,1.6342885515747074,-0.3673905588989257,-4.0704770826110845,0.5621884301961266,496.57182751267857,494.24873194543454,1351.4728469595702,425.04062446521453,72.58816,91.687904,194.29791,81.51546800000007
2017-12-26,13.6216,18.819214,10.7265625,8.092651,4.44988,5.182855,-0.020084495,-0.8447571,1.0842353,1.6317521,0.34010965,24,157.0,PM2.5,0.0237687496137079,0.9997174833630752,-0.0901900042703451,0.99592457702866,0,13.732624,12.867944,11.516838,13.40738933333333,19.406921,21.031097,18.979462,19.752410666666673,4.1821136,3.206566,2.597203,3.946186533333332,1.1234044,2.0462077,1.985693,1.4179491333333332,24.0,13.0,10.0,20.333333333333332,193.6436,87.23876,630.0335,246.98224,542.79474,13.921104,1017.2705,12.221448,0.2995044311523429,-4.144958628906249,209.9552272420212,94.58734518228684,0.4196672979125981,1.6342885515747074,-0.3673905588989257,0.7844867602132162,284.30131393753055,496.57182751267857,494.24873194543454,330.2761228974101,80.27034,72.58816,91.687904,80.03242000000007
2017-12-27,15.018767,23.135925,10.995544,12.140381,4.981771,5.8644156,-0.6928542,-0.9644882,1.8423973,3.0370562,0.52389723,14,155.0,PM2.5,0.583429617635135,0.8121637034897091,-0.0730451882110474,0.9973286321364752,0,13.6216,13.732624,12.867944,14.124330333333331,18.819214,19.406921,21.031097,20.454020000000003,4.44988,4.1821136,3.206566,4.537921533333332,1.0842353,1.1234044,2.0462077,1.3500123333333331,24.0,24.0,13.0,20.666666666666668,311.3926,63.729065,1286.7137,441.5794,1222.9846,14.63393,1018.9246,9.999489,-0.3848367937011723,-7.22766083984375,573.7089014030427,117.41425717957154,0.2995044311523429,0.4196672979125981,1.6342885515747074,0.11144497845458956,209.9552272420212,284.30131393753055,496.57182751267857,355.98848086086485,87.23876,80.27034,72.58816,77.0793883333334
2017-12-28,16.288988,23.978455,11.293091,12.685364,4.6120543,5.221567,-0.9738429,-1.2540501,1.9807674,4.256615,0.10905964,15,119.0,PM2.5,0.6133402272610639,0.78981881822564,-0.0558787569053731,0.9984375616565666,0,15.018767,13.6216,13.732624,14.976451666666662,23.135925,18.819214,19.406921,21.977864666666672,4.981771,4.44988,4.1821136,4.6812350999999985,1.8423973,1.0842353,1.1234044,1.6357999999999997,14.0,24.0,24.0,17.666666666666668,277.49487,63.7429,1182.6818,399.19168,1118.9388,16.099483,1018.5762,8.517449,-0.1895045100097654,-7.114929609375,549.6527981983886,126.25985998192064,-0.3848367937011723,0.2995044311523429,0.4196672979125981,-0.09161229085286493,573.7089014030427,209.9552272420212,284.30131393753055,444.4389756144842,63.729065,87.23876,80.27034,71.57024166666675
2017-12-29,17.303091,25.461365,13.085999,12.375366,3.9045105,4.5250554,-1.1267148,-1.1137856,2.3518925,3.3084404,0.9421915,8,91.0,PM2.5,0.7111754031188575,0.7030146129339919,-0.0386957901765268,0.999251037438848,0,16.288988,15.018767,13.6216,16.203615333333328,23.978455,23.135925,18.819214,24.191915000000005,4.6120543,4.981771,4.44988,4.499445266666665,1.9807674,1.8423973,1.0842353,2.0583524,15.0,14.0,24.0,12.333333333333334,400.70337,96.65172,1237.3687,571.14014,1140.7169,17.437052,1017.82745,7.0454392,0.1339607730712906,-7.770508066406251,942.4112486065674,227.3144510047531,-0.1895045100097654,-0.3848367937011723,0.2995044311523429,-0.1467935102132157,549.6527981983886,573.7089014030427,209.9552272420212,688.5909827359995,63.7429,63.729065,87.23876,74.70789500000008
2017-12-30,16.905216,22.141724,11.950958,10.190765,4.337501,4.618783,0.37284842,-0.30123454,1.464667,2.9126277,0.02049882,16,115.0,PM2.5,-0.7778517246631061,0.6284478454403605,-0.0215013727408137,0.999768818762748,1,17.303091,16.288988,15.018767,16.83243166666666,25.461365,23.978455,23.135925,23.86051466666667,3.9045105,4.6120543,4.981771,4.284688599999998,2.3518925,1.9807674,1.8423973,1.9324422999999995,8.0,15.0,14.0,13.0,273.12045,63.896633,1003.37976,381.8254,939.48315,16.568659,1016.9655,6.3030853,-0.3365571712646478,-4.30511511328125,400.03051435964966,93.58728998326492,0.1339607730712906,-0.1895045100097654,-0.3848367937011723,-0.1307003027343742,942.4112486065674,549.6527981983886,573.7089014030427,630.6981870548685,96.65172,63.7429,63.729065,74.76375100000008
2017-12-31,14.273856,18.73462,11.804474,6.9301453,4.7404838,5.1169777,0.31748447,0.48425362,0.98310894,2.7241495,0.44203085,22,141.0,PM2.5,-0.5482859315255825,-0.8362909405769766,-0.0043005927029819,0.9999907524084426,1,16.905216,17.303091,16.288988,16.160720999999995,22.141724,25.461365,23.978455,22.112569666666673,4.337501,3.9045105,4.6120543,4.327498433333332,1.464667,2.3518925,1.9807674,1.5998894799999996,16.0,8.0,15.0,15.333333333333334,289.86444,87.582436,824.353,361.69913,736.77057,14.24396,1016.3333,8.991175,-0.0298956194458011,-3.1850899707031246,284.9683232545569,86.10307543311082,-0.3365571712646478,0.1339607730712906,-0.1895045100097654,-0.07749733921305277,400.03051435964966,942.4112486065674,549.6527981983886,542.470028740258,63.896633,96.65172,63.7429,82.71026300000008
2018-01-01,14.173358,21.088593,9.722992,11.365601,4.104843,5.458568,-0.4496777,-1.0348991,1.746802,3.1901655,0.58177525,16,190.0,PM2.5,0.3985185739986798,0.9171602619924496,0.0172015754182605,0.9998520419557736,0,14.273856,16.905216,17.303091,15.11747666666666,18.73462,22.141724,25.461365,20.654979000000004,4.7404838,4.337501,3.9045105,4.394275933333332,0.98310894,1.464667,2.3518925,1.398192646666666,22.0,16.0,8.0,18.0,370.5333,98.993,1169.2324,528.03815,1070.2394,14.6232605,1018.7928,11.996633,0.4499024980468746,-6.0081181464843745,647.2483002096558,172.92116377578736,-0.0298956194458011,-0.3365571712646478,0.1339607730712906,0.027816569112141903,284.9683232545569,400.03051435964966,942.4112486065674,444.0823792746208,87.582436,63.896633,96.65172,83.49068966666674
2018-01-02,15.706917,22.161163,12.59967,9.561493,4.428922,4.917721,-0.7101586,-1.1379757,1.5709735,2.8639543,0.41735274,16,152.0,PM2.5,0.5294218517636896,0.8483587112036428,0.034398060613608,0.9994082116062598,0,14.173358,14.273856,16.905216,14.71804366666666,21.088593,18.73462,22.141724,20.66145866666667,4.104843,4.7404838,4.337501,4.424749599999998,1.746802,0.98310894,1.464667,1.4336281466666665,16.0,22.0,16.0,18.0,259.96536,65.57636,890.16675,404.8262,824.5904,15.134673,1019.0889,13.6987,-0.5722438814086921,-6.727233556640623,408.39869548210146,103.01872788648606,0.4499024980468746,-0.0298956194458011,-0.3365571712646478,-0.05074566760253953,647.2483002096558,284.9683232545569,400.03051435964966,446.8717729821047,98.993,87.582436,63.896633,84.05059866666674
2018-01-03,16.516447,20.659363,14.05957,6.5997925,4.1495786,4.860482,-1.5250217,-0.8843484,2.0915964,3.1775217,0.7225046,11,110.0,PM2.5,0.8650715821261333,0.5016484404418979,0.0515843668694083,0.9986686402879996,0,15.706917,14.173358,14.273856,15.465573999999997,22.161163,21.088593,18.73462,21.30303966666667,4.428922,4.104843,4.7404838,4.227781199999999,1.5709735,1.746802,0.98310894,1.803123966666666,16.0,16.0,22.0,14.333333333333334,386.89917,64.44626,1219.082,509.03976,1154.6357,14.286492,1017.2666,14.5742235,-2.2299546522827143,-5.167816369140624,809.236910971582,134.7955623660278,-0.5722438814086921,0.4499024980468746,-0.0298956194458011,-0.7840986785481773,408.39869548210146,647.2483002096558,284.9683232545569,621.6279688877797,65.57636,98.993,87.582436,76.33854000000007
