date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-04-03,87.0,61,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
2016-04-04,64.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Reseda
2016-04-05,105.0,50,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-04-06,74.0,59,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Reseda
2016-04-07,71.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-04-08,71.0,49,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Glendora
2016-04-09,59.0,56,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-04-10,56.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-04-11,59.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-04-12,59.0,60,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-04-13,63.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-04-14,71.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-04-15,61.0,58,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-04-16,62.0,50,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-04-17,97.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
2016-04-18,108.0,62,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-04-19,115.0,48,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,LAX Hastings
2016-04-20,108.0,52,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-04-21,112.0,57,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-04-22,53.0,51,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-04-23,67.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-04-24,77.0,64,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
2016-04-25,68.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-04-26,64.0,51,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,West Los Angeles
2016-04-27,69.0,57,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-04-28,59.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-04-29,63.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-04-30,60.0,64,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-05-01,80.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-05-02,70.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-05-03,84.0,55,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-04,77.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-05,53.0,50,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Glendora
2016-05-06,47.0,59,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
