date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-04-04,64.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Reseda
2016-04-05,105.0,43,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-04-06,74.0,49,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Reseda
2016-04-07,67.0,45,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-04-08,59.0,43,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-04-09,41.0,49,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-04-10,41.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,West Los Angeles
2016-04-11,49.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-04-12,51.0,50,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-04-13,53.0,45,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-04-14,71.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-04-15,61.0,50,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-04-16,62.0,44,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-04-17,97.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
2016-04-18,108.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-04-19,115.0,42,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,LAX Hastings
2016-04-20,108.0,46,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-04-21,112.0,50,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-04-22,50.0,44,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
